event_id,event_date,latitude,longitude,landslide_trigger,landslide_size,fatality_count,location_description
6184,07/28/2014 12:00:00 AM,29.5829,80.2182,continuous_rain,medium,7,"Pithauragadh, Uttarakhand"
2290,08/20/2010 12:00:00 AM,30.6509,79.0264,downpour,medium,0,"Gaurikund, road to Kedarnath, Garwhal division, Uttarakhand"
5346,08/17/2013 12:00:00 AM,31.0343,78.7248,rain,medium,,"Harsil, Uttarakhand"
3673,06/29/2011 12:00:00 AM,30.2416,78.8996,downpour,medium,0,"Rishikesh-Kedarnath national highway, Sirobagad"
2389,09/04/2010 12:00:00 AM,30.5004,79.3888,downpour,medium,0,"Chhinka area(?), on Rishikesh-Badrinath hwy"
1521,02/23/2010 12:00:00 AM,30.383,78.5094,downpour,medium,2,
7110,04/30/2015 12:00:00 AM,30.5568,79.5541,continuous_rain,small,0,Rishikesh-Badrinath National Highway near Joshimath
2162,07/29/2010 12:00:00 AM,30.4054,79.3426,downpour,medium,0,
2452,09/19/2010 09:00:00 AM,30.1977,77.9137,downpour,medium,0,"near Mohand, Dehradun-Delhi hwy, Uttar Pradesh"
5358,08/18/2013 12:00:00 AM,30.6639,78.0574,rain,medium,,Rishkesh-Yamunotri Highway
4940,06/17/2013 12:00:00 AM,30.3069,78.0169,rain,medium,3,"Dehradun, Uttarakhand"
2040,07/06/2010 12:00:00 AM,30.638,78.3297,downpour,medium,0,"highway to Uttarkashi district, Uttarakhand"
6947,06/21/2015 12:00:00 AM,30.0261,78.6278,rain,small,0,Satpuli-Kanskhet Road in Pauri Garhwal district
1130,09/01/2009 03:00:00 PM,29.7036,78.5658,downpour,medium,3,Chinona area in Almora district
5209,07/26/2013 12:00:00 AM,30.6539,78.3366,rain,medium,,Rishikesh-Gangotri Highway Near Dharasu-Nalupani
5178,07/24/2013 12:00:00 AM,30.4605,79.4774,continuous_rain,medium,2,"Chamoli, Uttarakhand"
9008,07/16/2016 12:00:00 AM,30.3351,78.5113,rain,small,0,"Mathyali village, Jakhnidhar, Uttarakhand, India"
5198,07/25/2013 12:00:00 AM,30.8928,78.48,continuous_rain,medium,0,"Quaritok, Uttarkashi, Uttarakhand"
5347,08/17/2013 12:00:00 AM,30.7292,78.4396,rain,medium,,"Uttarkashi, Uttarakhand"
3737,07/06/2011 12:00:00 AM,30.3214,78.0319,downpour,medium,0,"Gangortri-Rishikesh highway, at Narendranagar in Tehri district of Uttarakhand"
5176,07/23/2013 12:00:00 AM,30.1944,79.1939,downpour,medium,0,"Deval, Chamoli District, Uttarakhand"
4943,06/17/2013 12:00:00 AM,29.5987,79.6592,downpour,medium,4,"Almora, Uttarakhand"
2443,09/18/2010 12:00:00 AM,29.6042,79.5343,downpour,large,24,"villages Pilkha(?), Devali(?), and Balta(?), Avalbagh block(?), Almora(Almorah) district, Uttarakhand"
5365,08/19/2013 11:00:00 PM,30.6293,78.3303,downpour,medium,,"Nalupani Area Of Uttarkashi District, Uttarakhand"
2294,08/20/2010 12:00:00 AM,30.3846,78.8371,downpour,medium,0,"Lambagad(?), Rishikesh-Badrinath highway, Uttarakhand"
2309,08/22/2010 12:00:00 AM,30.4238,79.6724,downpour,medium,0,"Chandoli(?) and Karchuna(?) vilalges, Pokkhri, Chamoli, Uttarakhand, Uttranchal"
2378,09/03/2010 12:00:00 AM,30.135,78.3896,downpour,medium,0,"Shivpuri, Rishikesh-Badrinath hwy"
2440,09/17/2010 12:00:00 AM,30.75402442,79.49970189,downpour,very_large,,"Maletha village, near Badrinath"
2476,09/20/2010 12:00:00 AM,29.3987,79.4841,downpour,medium,0,"NH-87 near Naintital, Uttarakhand"
7308,08/15/2015 12:00:00 AM,30.9111,78.6814,continuous_rain,medium,0,Gagnani
2103,07/20/2010 12:00:00 AM,29.9862,78.6115,downpour,medium,0,"Badrinath and Yamunotri shrines(?), Garhwal region, Uttarakhand"
4974,06/24/2013 03:00:00 PM,30.4091,79.0579,rain,medium,0,"Between Rudaprayag And Guptkashi, Uttarakhand (2 Landslides)"
2268,08/18/2010 08:30:00 AM,30.0134,79.9261,downpour,large,18,"Saraswati Shishu Mandir school(?), Sumgarh(Sumgad) village(?), Bageshwar-Pindari glacier rd 45 km from Bageshwar, Kapkot, Bageshwar, Uttarakhand"
3670,06/29/2011 12:00:00 AM,30.67629482,79.04191791,downpour,medium,,National highway leading to Kedarnath
2257,08/16/2010 12:00:00 AM,30.7284,79.4971,downpour,medium,0,"badrinath route, Lambagarh(?), Uttarakhand"
7296,07/24/2015 12:00:00 AM,30.416,78.3415,continuous_rain,medium,0,Kempty Road near Kandikhal
3578,06/07/2011 09:00:00 AM,30.2414,78.908,downpour,medium,0,"Rishikesh-Badrinath hwy., near Sirobgarh(Sirobagad), Rudraprayag district, Uttarakhand"
7297,07/28/2015 12:00:00 AM,30.7204,79.0758,continuous_rain,small,0,Kedarnath Yatra
7270,07/24/2015 12:00:00 AM,29.5863,80.2186,continuous_rain,small,0,Pithoragarh
3859,07/29/2011 12:00:00 AM,30.012,78.197,downpour,medium,0,Kedarnath yatra
2456,09/19/2010 12:00:00 AM,30.7991,79.4356,downpour,medium,0,"near Bagri Glacier(?), Gopeswar(Gopeshwar), Chamoli district, Uttarakhand"
9448,08/05/2016 11:00:00 PM,29.5866,80.2154,downpour,small,1,Bangapani area of Pithoragarh
3577,06/07/2011 12:00:00 AM,30.5319,79.3541,downpour,medium,0,"road to Badrinath shrine, Uttarakhand"
5241,07/31/2013 08:00:00 AM,29.5952,79.6625,downpour,medium,,"Salut, Almora, Uttarakhand"
4472,08/14/2012 12:00:00 AM,30.7362,78.44,downpour,medium,,"Uttarkashi, Uttarakhand,"
7224,07/19/2015 12:00:00 AM,30.73,78.4378,continuous_rain,medium,0,"Varunavat Mountain, Uttarkashi"
8032,06/29/2016 12:00:00 AM,30.3299,79.3206,downpour,medium,0,"Nandprayag, Uttarakhand, India"
7294,07/24/2015 12:00:00 AM,30.4528,78.1045,continuous_rain,small,0,Kempty Road near Kempty Falls
